length,rapidfuzz,fuzzywuzzy
461,1.587537600426E-05,0.000221644527992
463,1.59791199985193E-05,0.000223411521001
465,1.6091650002636E-05,0.000225555643992
467,1.61800680070883E-05,0.000227646424988
469,1.62179710023338E-05,0.000229542521003
471,1.63284900045255E-05,0.000231421635006
473,1.63462979980977E-05,0.000233614786004
475,1.64184290042613E-05,0.000235322445005
477,1.6487828004756E-05,0.000237165516999
479,1.65676339966012E-05,0.000239215139009
481,1.66145359980874E-05,0.000241236511996
483,1.67078849917743E-05,0.000243102383989
485,1.67472629982512E-05,0.000245097086998
487,1.67534939973848E-05,0.000247258765012
489,1.68616230075713E-05,0.000249069443002
491,1.69306750030955E-05,0.000251305436002
493,1.70497669896577E-05,0.000252962832994
495,1.70720059977612E-05,0.000255409669
497,1.7154886998469E-05,0.000257217734994
499,1.72381709999172E-05,0.000259493026009
501,1.72789409989491E-05,0.000261280559003
503,1.72810359945288E-05,0.000263420042
505,1.74454789957963E-05,0.000265482329996
507,1.74693890003255E-05,0.000267789923004
509,1.75496239971835E-05,0.000269765983001
511,1.75989529961953E-05,0.000271913417993
