length,rapidfuzz,polyleven,python-Levenshtein,edlib,editdistance
369,1.65008375006437E-05,2.95215829996778E-05,,5.50658451000345E-05,4.52839215004133E-05
371,1.6538109000976E-05,2.95892459998868E-05,,5.52592951000406E-05,4.52454670003135E-05
373,1.66309690030175E-05,2.99435619999713E-05,,5.53933610999593E-05,4.58199670001704E-05
375,1.67160799974226E-05,2.99453229999926E-05,,5.54408437999882E-05,4.58307550006793E-05
377,1.67855760009843E-05,3.02650799999356E-05,,5.54855673000929E-05,4.61018955002146E-05
379,1.68478417472215E-05,3.02992110000559E-05,,5.56354780999755E-05,4.5943817499392E-05
381,1.69288347497059E-05,3.06743329997516E-05,,5.58310685999459E-05,4.66461444993911E-05
383,1.69907637500728E-05,3.0805042999873E-05,,5.64482752999538E-05,4.66228820005199E-05
385,2.02435594983399E-05,3.35782299998755E-05,,6.09812403001342E-05,4.93004615000245E-05
387,2.03699730009248E-05,3.41769080000631E-05,,6.12521607999952E-05,4.96106565005903E-05
389,2.05197899995255E-05,3.45282829998723E-05,,6.11858364E-05,4.99738045000413E-05
391,2.0584154251992E-05,3.46751430001859E-05,,6.13620271999025E-05,4.98937550000846E-05
393,2.06964112512651E-05,3.51046830000996E-05,,6.14887435000128E-05,5.07632630005901E-05
395,2.07586145006644E-05,3.52197420002085E-05,,6.15361422000205E-05,5.07021405001069E-05
397,2.08661095020943E-05,3.55809780003256E-05,,6.17106935000265E-05,5.09224895004081E-05
399,2.09584007498051E-05,3.56189859999176E-05,,6.16452288999426E-05,5.13103964995025E-05
401,2.1024987247074E-05,3.601219400025E-05,,6.18361024999103E-05,5.15598695001245E-05
403,2.11615207481373E-05,3.59834659998341E-05,,6.19094069001221E-05,5.15526255003351E-05
405,2.12527102485183E-05,3.65146770000138E-05,,6.18163951001406E-05,5.18845400001737E-05
407,2.13098937492759E-05,3.64663609998388E-05,,6.18591210999512E-05,5.23027600002024E-05
409,2.14425759986625E-05,3.70588169998882E-05,,6.20072673998948E-05,5.25150429994028E-05
411,2.14869022493076E-05,3.7179432999892E-05,,6.1936995600081E-05,5.26892789994235E-05
413,2.1594815501885E-05,3.71765810000397E-05,,6.20654117999948E-05,5.28075005004212E-05
415,2.17104250004922E-05,3.76444909998099E-05,,6.20975878000536E-05,5.30764760005695E-05
417,2.17545222512854E-05,3.78756800000701E-05,,6.21693905999564E-05,5.36622540003009E-05
419,2.18770675019186E-05,3.81083950001084E-05,,6.23279949000789E-05,5.37259660004565E-05
421,2.19492732503568E-05,3.8095099000202E-05,,6.22358326998437E-05,5.41117239999949E-05
423,2.20451214991044E-05,3.86273600001914E-05,,6.2402651299999E-05,5.41556605003279E-05
425,2.21478549974563E-05,3.88332510001419E-05,,6.24176787001488E-05,5.44870274998175E-05
427,2.22195214992098E-05,3.87414350002473E-05,,6.25736234000215E-05,5.46632890000183E-05
429,2.22949059971143E-05,3.93426530004035E-05,,6.25921769998968E-05,5.50024485000904E-05
431,2.23993337494903E-05,3.9648925000165E-05,,6.27965536999909E-05,5.53067854998517E-05
433,2.24508664978202E-05,3.98136560002058E-05,,6.30061306999778E-05,5.57617860004029E-05
435,2.247841800272E-05,4.0031074000126E-05,,6.29788682999788E-05,5.58379545000207E-05
437,2.25789497526421E-05,4.02854210001351E-05,,6.32191714001237E-05,5.6133530999432E-05
439,2.26410869981919E-05,4.03852360000201E-05,,6.32723658000032E-05,5.61441290001312E-05
